Type,Portfolio
FI_Carry,US_10yr
FI_Carry,US_5s30s
FI_Carry,AU_10yr
FI_Carry,AU_5s15s
Credit_Carry,IT_Spread
FI_Carry,IT_5s30s
FI_Carry,DE_10yr
FI_Carry,DE_5s30s
FI_Carry,UK_10yr
FI_Carry,UK_5s30s
FX_Carry,USD_G10
FX_Carry,USD_LatAm
FX_Carry,USD_Emea
FX_Carry,USD_Asia
Funding_Carry,AUD_Funding
Funding_Carry,USD_Funding
Funding_Carry,EUR_Funding
FX_Carry,USD_CEE3
Credit_Carry,HY_Credit
Credit_Carry,IG_Credit
Credit_Carry,EM_Credit
